1,70 80 9 71
1,74 81 9 72
1,78 82 8 73
1,82 83 7 74
1,86 80 6 75
1,90 81 9 76
1,94 82 9 77
1,98 83 8 78
1,70 80 7 79
1,74 81 6 80
1,78 82 9 81
1,82 83 9 82
1,86 80 8 83
1,90 81 7 84
1,94 82 6 85
1,98 83 9 86
1,70 80 9 87
1,74 81 8 88
1,78 82 7 89
1,82 83 6 90
1,86 80 8 91
1,90 81 9 92
1,94 82 8 93
1,98 83 7 94
1,70 80 6 95
1,74 81 8 96
1,78 82 9 97
1,82 83 8 98
1,86 90 7 99
1,90 91 6 96
0,22 30 2 20
0,33 40 3 30
0,60 50 1 22
0,50 30 4 36
0,55 40 1 12
0,21 50 2 33
0,23 30 3 32
0,34 40 1 31
0,50 50 4 25
0,55 30 1 21
0,21 40 2 22
0,23 50 3 17
0,34 30 1 25
0,33 40 4 21
0,34 50 1 22
